",""Овны"",""Тельцы"",""Близнецы"",""Рак"",""Лев"",""Дева"",""Весы"",""Скорпион"",""Стрелец"",""Козерог"",""Водолей"",""Рыбы"",""date""";;;;
"70,"".  <U+0001F525>Когда Овнам было лет 10, Они думали, что в лет 20 Они уже будут деловыми и серьезными. АХАХАХАХАХАХАХА!!!<U+2649> "","". <U+0001F525>Тельцы уже устали от работ, экзаменов и прочей чуши.. ТЕЛЬЦЫ ХОТЯТ В ОТПУСК!!!<U+264A>"","". <U+0001F525>Близнец обычно не имеет строгого плана действий. Он страшен своей импровизацией.<U+264B>Рак. <U+0001F525>Увезите Рака на море, На Мальдивы, Канары, Сочи, Где любовь есть и нету горя, "","" НА МОРЕ ДО УЖАСА ХОЧЕТ!!!)))<U+264C>"","". <U+0001F525>3 самых главных проблемы Льва: 1. Быстро привязывается к людям 2. Слишком добрый 3. Быстро всё прощает<U+264D>"","". <U+0001F525>Девы — какая-бы фигня с Вами не случилась, не переставайте задавать себе вопрос: """"А будет ли это важно через год?""""<U+264E>Весы. <U+0001F525>"","" хотят моря, любви и тепла, Чтоб текила рекою текла, Наслаждаться жизнью, шалить, И ЛЮБИТЬ! И ЛЮБИТЬ! И ЛЮБИТЬ!!!<U+264F> Скорпион. <U+0001F525>Говорят "",""ы любят выносить людям мозг. Но, на самом деле очень трудно выносить мозг, учитывая, что многим людям его и не заносили.<U+2650>"","". <U+0001F525>Больше всего на свете Стрельцы боятся предательства..<U+2651>Козерог. <U+0001F525>"",""и — уже совсем скоро Вас ждет какое-то внезапное путешествие. Возможно на море.<U+2652>"","". <U+0001F525>Водолеям уже всё надоело.. Водолеи хотят улететь в тёплые края.. Желательно с друзьями.. Желательно туда — где море, солнышко, мартини и румяные красивые романтичные закаты..<U+2653>Рыбы. <U+0001F525>"","" — наконец-то Вы встретите свое счастье.. Настоящее, тёплое, светлое, искреннее..<U+262F> @moygoroskop"",""10 ИЮНЯ""";;;;
"71,"" очень огорчен тем фактом, что любовь, верность, дружба и искренность в наше время - это только слова..<U+2649><U+FE0F>"","".<U+0001F525>Тельцы — удача Вас будет преследовать абсолютно во всем! Чтобы Вы не делали — она будет крепко держать Вас за руку и не отходить от Вас ни на шаг!)<U+264A><U+FE0F>Близнецы. <U+0001F525>"","" плевать хотели на черные полосы жизни!) Он будет их белить!)<U+264B><U+FE0F>Рак. <U+0001F525>"",""и - скоро в Вашей жизни случится такое событие, которое Вы запомните на всю жизнь и еще долго потом будете благодарить Бога за это..<U+264C><U+FE0F>"","".<U+0001F525>У Льва нет правил, есть только настроение... Какое настроение, такие и правила...<U+264D><U+FE0F>"","".<U+0001F525>Девы хотели бы себе каменное сердце, чтобы не чувствовать ни боли, ни обид, ни разочарований..<U+264E><U+FE0F>"","". <U+0001F525>Никогда, слышите, никогда не оставляйте Весов одних! Никогда и ни при каких обстоятельствах! Уведут.. Возьмут и уведут.. Вы даже глазом моргнуть не успеете..<U+264F><U+FE0F>Скорпион. <U+0001F525>Нет, Скорпион не ведется на глупый пафос, тупое шмотье, айфоны и прочую дребедень.. Для "",""а главней всего, чтобы рядом был понимающий, близкий, любящий человек..<U+2650><U+FE0F>"","". <U+0001F525>Стрельцы, откуда у Вас столько сил, чтобы улыбаться, когда отняли у вас часть души?<U+2651><U+FE0F>Козерог. <U+0001F525>Козероги — Вы слишком хорошо относитесь к людям.. Вам нужно научится быть эгоистами! Да, для "",""а это нелегко.. Но, нужно.. Иначе ох*евшие люди попросту начнут садится Вам на шею..<U+2652><U+FE0F>"","".<U+0001F525>Водолеи — Ваше счастье уже мчится к Вам на желтом Lamborghini с огромным букетом пионов.. Да-да, это не сон.. Скоро Вас жизнь начнет налаживаться..<U+2653><U+FE0F>"","". <U+0001F525>Для того, чтобы потерять Рыб много не надо — равнодушия будет достаточно..@moygoroskop <U+262F><U+FE0F>"",""12 ИЮНЯ""";;;;
"72,"" хочет куда-нибудь в Сочи, Туда где дни длиннее, а ночи короче, Туда где взаимность и счастье, нет горя, Где волны.. Где чайки.. Где плещется море..<U+2649><U+FE0F> "","". <U+0001F525>Чем больше Тельца ты вкусно кормишь, тем больше нравишься Ему.<U+264A><U+FE0F>Близнецы. <U+0001F525>"","" — то, что в последние дни Вас так сильно волновало решится само по себе! ВСЁ БУДЕТ СУПЕР!<U+264B><U+FE0F>Рак.  <U+0001F525>3 главных качества "",""а: 1. Надёжность 2. Верность слову 3. Душевный<U+264C><U+FE0F>"","". <U+0001F525>Запомните, Львы — никто не бывает """"слишком занят"""". Это просто вопрос приоритетов. Те, кому Вы действительно важны — всегда найдут для Вас время.<U+264D><U+FE0F>"","". <U+0001F525>Девы с успехом осуществят всё задуманное, порешают все проблемы, с успехом сдадут все экзамены — и всё у Них будет зашибись!!!<U+264E><U+FE0F>"","". <U+0001F525>О, как Весам хотелось бы подарить некоторым людям мозги.. А некоторым даже по два комплекта..<U+264F><U+FE0F> Скорпион.<U+0001F525>Воу воу воу, "",""ы — скоро в Вашу сторону подует денежный ветер!!!<U+2650><U+FE0F>"","". <U+0001F525>Хотите сделать Стрельцам приятное — увезите Их на море.<U+2651><U+FE0F>Козерог. <U+0001F525>"",""и устали от всей этой фигни происходящей вокруг и хотят, чтобы кто-то увёз Их на море.. Желательно за спасибо..))<U+2652><U+FE0F>"","".<U+0001F525>Водолеи возложили очень большие надежды на этот июнь. И НЕ ЗРЯ!!! С сегодняшнего дня Ваши дела пойдут на поправку!!!))<U+2653><U+FE0F>Рыбы.<U+0001F525>"","" — готовьтесь ощутить на себе райские наслаждения! Их будет много! Это будет волшебно!!!@moygoroskop <U+262F><U+FE0F>"",""13 ИЮНЯ""";;;;
"73,""<U+0001F525>Вы дадите старт новому большому делу или начнете очередной важный этап своей жизни. Ваше путешествие закончится успешно – вы достигнете своей цели.<U+2649><U+FE0F>"",""<U+0001F525>Если в последнее время вы искали решение какой-то проблемы, будьте уверены: сегодня вы его найдете. Вас ждет прозрение – вы вдруг обнаружите, что ответ на волнующий вопрос лежал на поверхности.<U+264A><U+FE0F>"",""<U+0001F525>Вас ждет весьма захватывающий вечер. Подготовьтесь к нему.<U+264B><U+FE0F>"",""<U+0001F525>Прекрасный день! Звезды рекомендуют смело действовать, смело принимать решения и смело брать на себя ответственность.<U+264C><U+FE0F>"",""<U+0001F525>Вы почувствуете прилив сил, вы будете уверены в себе и харизматичны, и всё у вас получится наилучшим образом. Вперед к покорению новых вершин!<U+264D><U+FE0F>"",""<U+0001F525>Звезды рекомендуют не бояться проявлять свои чувства, """"выпустить пар"""" в какой-нибудь авантюре, но не строить планов на далекую перспективу. Этим вы займетесь позже.<U+264E><U+FE0F>"",""<U+0001F525>Сегодня вы можете дать старт новому делу. Вы поймете, что у вас есть желание, возможности для ее осуществления, а также вера в свои силы.<U+264F><U+FE0F> "",""<U+0001F525>Сегодня действуйте решительно. У вас есть все возможности для того, чтобы свернуть горы – воспользуйтесь ими.<U+2650><U+FE0F>"",""<U+0001F525>События этого дня помогут вам осознать, что ваше благополучие и ваш успех находятся в ваших руках. С одной стороны, вы - мастер своего дела, а с другой – готовы учиться чему-то новому.<U+2651><U+FE0F>Козерог<U+0001F525>Ой, у "",""ов день будет окрашен в невероятные позитивные тона! Спасибо тебе, невидимый художник!<U+2652><U+FE0F>"",""<U+0001F525>Бывает, когда всё решается в последнюю минуту. Сегодня будет такая же ситуация. Решится всё в крайний момент, но самым офигенным для вас образом!<U+2653><U+FE0F>"",""<U+0001F525>Рыбки, не надо считать все проблемы своими собственными, вы и так много взваливаете на свои и так замученные плечи. Лучше скушайте что-нибудь вкусное!@moygoroskop <U+262F><U+FE0F>"",""14 ИЮНЯ""";;;;
"74,""<U+0001F525>Нынче вы будете преисполнены энтузиазма. Не давайте никому задушить в вас столь полезное качество, и вы будете способны многое сделать сегодня.<U+2649><U+FE0F>"",""<U+0001F525>Не стоит недооценивать удачу, которая выпала на вашу долю. Во-первых, вы лишаете себя удовольствия, а во-вторых, удача ведь и обидеться может…<U+264A><U+FE0F>"",""<U+0001F525>Не стоит сегодня тратить много сил на то, чтобы произвести впечатление на окружающих. Вы и так это сделаете, даже не особо этого добиваясь.<U+264B><U+FE0F>"",""<U+0001F525>Позаботьтесь сегодня о своей внешности, а заодно и о здоровье. И отдохнете, и удовольствие получите, и похорошеете - разве плохо?<U+264C><U+FE0F>"",""<U+0001F525>Откройте двери и окна для новых возможностей, и они придут. Главное - вовремя двери и окна позакрывать, чтобы их посещение не оказалось транзитным<U+264D><U+FE0F>"",""<U+0001F525>Сегодня вас ждет приятный день, полный хороших впечатлений и положительных эмоций, но не стоит терять своего мнения и поддаваться влиянию со стороны.<U+264E><U+FE0F>"",""<U+0001F525>Хороший день для общения и встречи со старыми друзьями. Важные дела сегодня лучше завершить в первой половине дня, освободив время на вечерние посиделки в теплом кругу.<U+264F><U+FE0F> "",""<U+0001F525>Звезды обещают вам настоящий подарок судьбы в виде реальной и необходимой помощи в осуществлении планов. Вы можете загореться новой идеей, захотите попробовать себя в чем-то новом, и именно в этот день подобные планы обречены на успех.<U+2650><U+FE0F>"",""<U+0001F525>Не доверяйте мнению даже самых близких людей, полагайтесь на свою интуицию и собственный здравый смысл.<U+2651><U+FE0F>"",""<U+0001F525>Сегодня вам может предстоять непростой разговор, конфликт, либо вам придется принимать неприятное, но необходимое решение. Все эти вещи априори не могут принести радость и удовлетворение, но они – необходимы.<U+2652><U+FE0F>"",""<U+0001F525>Этот день может стать днем перемен – перемен к лучшему. Или известий о таких переменах.<U+2653><U+FE0F>"",""<U+0001F525>День будет очень хорошим и приятным! Вы будете чувствовать себя уютно, где бы ни находились!@moygoroskop <U+262F><U+FE0F>"",""15 ИЮНЯ""";;;;
"75,""<U+0001F525>Будьте готовы к переменам, они вас уже поджидают и скоро навалятся на вас. Перемены, кстати говоря, очень приятные, так ждать их надо с улыбкой!<U+2649><U+FE0F>"",""<U+0001F525>Тяжесть на душе не должна лишить вас уверенности. Вдохните глубоко и и попробуйте разобраться, что и когда пошло не так.<U+264A><U+FE0F>Близнецы<U+0001F525>"","" легко могут оказаться в центре всеобщего внимания. И что ценно, внимание это будет весьма позитивное. Судьба дает вам идеальные шансы для того, чтобы реализовать свои самые далеко идущие планы и мечты!<U+264B><U+FE0F>"",""<U+0001F525>Светлая голова и холодное сердце помогут вам не натворить глупостей. Не слушайте незнакомых вам людей, их советы не принесут счастья.<U+264C><U+FE0F>"",""<U+0001F525>Этот день обещает щедро наполнить Льва позитивной, созидательной энергией! Его чувства и мысли наконец-то придут в гармоничное равновесие.<U+264D><U+FE0F>"",""<U+0001F525>Сделайте что-то необычное и попробуйте вырваться из рутины. Можете смело решаться на что-то новое и попробовать поэкспериментировать<U+264E><U+FE0F>"",""<U+0001F525>Если вы не хотите весь день проплясать под чужую дудку, вам не помешает более критично относиться к словам окружающих и в разговоре с ними почаще употреблять слово «нет».<U+264F><U+FE0F> Скорпион<U+0001F525>Дела у "",""ов обещают складываться легко и без лишних потрясений. Это замечательный день для того, чтобы довести до реализации если и не все, то хотя бы некоторые их своих планов!<U+2650><U+FE0F>"",""<U+0001F525>Сегодняшний день обещает быть чрезвычайно удачным в деловом отношении. Засучивайте рукава и беритесь за дело. Вы сумеете доказать, что вы - лучший.<U+2651><U+FE0F>"","" <U+0001F525>Сегодня как никогда стоит быть любезным и раздаривать ослепительные улыбки направо и налево. Попробуйте, вдруг получится.<U+2652><U+FE0F>"",""<U+0001F525>Постарайтесь выражаться аккуратно. Вы легко можете нарушить то равновесие, которое вам удалось создать. Уважайте иные мнения.<U+2653><U+FE0F>"",""<U+0001F525>Сегодня вам не придется метаться в поисках чего-то нового. Все кардинальнейшим образом изменит всего один телефонный звонок. Вам остается лишь дождаться его.@moygoroskop <U+262F><U+FE0F>"",""16 ИЮНЯ""";;;;
"76,"". 17 июня. <U+0001F525>О, как же Овна бесит ложь и притворство.. Достало уже.. Просто достало.. Люди, неужели нельзя быть чуть-чуть искренней и открытей?<U+2649><U+FE0F>"","". 17 июня. <U+0001F525>Тельца нужно увезти к морю, Чтоб он там пил вино и загорал, В волнах плескался и не зная горя, Забыв про всё, самозабвенно отдыхал.<U+264A><U+FE0F>Близнецы. 17 июня. <U+0001F525>"","" — сбудется одно из Ваших самых больших желаний! Танцуйте!<U+264B><U+FE0F> Рак. 17 июня. <U+0001F525>Счастье для "",""а — это когда есть для кого дышать, с кем просыпаться по утрам, заваривать чай, когда есть кого ждать, есть кому говорить """"я люблю тебя тоже"""".. Вот ради этого хочется жить..<U+264C><U+FE0F>"","". 17 июня. <U+0001F525>Хотите нормально общаться со Львами — НЕ ЛИЦЕМЕРЬТЕ!!! Львы любят прямоту, честность и открытость. Иначе никак.<U+264D><U+FE0F>"","". 17 июня. <U+0001F525>Душам Дев неймется и нет покоя: Они хотят шашлыка, мартини и ласкового моря!!!<U+264E><U+FE0F> "","". 17 июня. <U+0001F525>Не лгите никогда Весам, Иначе Они просто уйдут, Просто уйдут навсегда, И вам Их уже не вернуть!!!<U+264F><U+FE0F>Скорпион. 17 июня. <U+0001F525>Заберите "",""а на юг, И спасите от суеты, От нервов и жизненных вьюг, В мир моря, солнца, света, красоты!!!)))<U+2650><U+FE0F>"","". 17 июня. <U+0001F525>Стрельцы не понимают измен.. Если Стрельцы кого-то любят, то никого другого для Них больше попросту не существует.. Весь Их мир зацикливается на одном единственном человеке..<U+2651><U+FE0F> Козерог. 17 июня. <U+0001F525>"",""и — с сегодняшнего дня в Вашей жизни начнется длинная, счастливая, снежно-белая полоса.<U+2652><U+FE0F>Водолей. 17 июня. <U+0001F525>Люди, запомните, если "","" перестал капать Вам на мозги, значит вы Его потеряли..<U+2653><U+FE0F>"","". 17 июня. <U+0001F525>Втереться в ДОВЕРИЕ к Рыбам не просто, Нужно быть честным, прямым и открытым, К небу тянутся, к счастью и звёздам, И дарить свои ласки и нежности Рыбам.@moygoroskop <U+262F><U+FE0F>"",""17 ИЮНЯ""";;;;
"77,"". 18 июня. <U+0001F525>Правило номер № 1 для Овна: Никогда не быть для кого-то № 2.<U+2649><U+FE0F>Телец. 18 июня. <U+0001F525>"","" самый добрый человек на свете. Если найдется кто-то добрее, они убьют его и снова стану самым добрым человеком на свете<U+264A><U+FE0F>Близнецы. 18 июня. <U+0001F525>"","" - кто-то, пипец, как соскучился по Вам..<U+264B><U+FE0F>Рак. 18 июня. <U+0001F525>"",""и Осторожно! Двери прошлого закрываются! Следующая остановка... «Счастливая жизнь»!<U+264C><U+FE0F>"","". 18 июня. <U+0001F525>В Львах удивительным образом сочетаются два совершенно разных человека: тот, без которого жить нельзя, и тот, с которым жить невозможно.. :)<U+264D><U+FE0F>"","". 18 июня. <U+0001F525>Девы иногда ненавидят себя за свой характер. Они могут безумно скучать по человеку, но никогда не скажут ему об этом.<U+264E><U+FE0F> Весы. 18 июня. <U+0001F525>Люди, запомните, Весы никогда не будут ни для кого номером 2. "","" могут быть только ЕДИНСТВЕННЫМИ! А иначе, уж извините, никак.. Если не устраивает — ДАВАЙ, ДО СВИДАНИЯ!<U+264F><U+FE0F>Скорпион. 18 июня. <U+0001F525>Учитывая свой характер, "","" с каждым днем все больше поражается, что рядом с Ним всё еще есть люди. Спасибо этим людям. От души.<U+2650><U+FE0F>"","". 18 июня. <U+0001F525>Не смотря на то, что у всех слюни на вас текут – ваше сердце принадлежит одному человеку!<U+2651><U+FE0F>Козерог. 18 июня. <U+0001F525>"",""и — с Вами случится то, о чем Вы так долго мечтали.. А всё благодаря одному очень хорошему человеку, которому Вы небезразличны..<U+2652><U+FE0F>Водолей. 18 июня. <U+0001F525>Мимолетные влюбленности — это не для Водолея! "","", если любит, то СИЛЬНО, КРЕПКО И НАДОЛГО!<U+2653><U+FE0F>Рыбы. 18 июня. <U+0001F525>Рыбам не нужны золотые горы, кисельные реки и океаны обещаний — "","" просто хотят любить и быть любимыми..@moygoroskop <U+262F><U+FE0F>"",""18 ИЮНЯ""";;;;
"78,"". 19 июня. <U+0001F525>Овны, все ваши переживания и проблемы скоро закончатся сюрпризом, который устроит вам судьба!<U+2649><U+FE0F>"","". 19 июня. <U+0001F525>Тельцы — берегите сердце!) Кто-то очень наглый и дерзкий уже разрабатывает план его похищения!) Не бойтесь – это не торговец органами, а очень милое лицо противоположного пола..<U+264A><U+FE0F>Близнецы. 19 июня. <U+0001F525>"","" — самое важное событие в Вашей жизни случится в конце июня.. Вы наконец-то почувствуете себя по-настоящему счастливыми..<U+264B><U+FE0F>Рак. 19 июня. <U+0001F525>"",""и скучают по старым дням. Серьёзно. Просто скучают. Бывает нахлынет волна воспоминаний и до мурашек. Они просто скучаю по тем людям, которых уже нет рядом.<U+264C><U+FE0F>"","". 19 июня. <U+0001F525>У Львов есть люди, которых хочется видеть каждый день, разговаривать с ними о чём угодно, чувствовать их тепло";" и cамое главное, находиться с ними рядом.<U+264D><U+FE0F>"","". 19 июня. <U+0001F525>Девы — Вас ждет очень долгий и прочный союз с человеком, который будет любить Вас больше жизни.<U+264E><U+FE0F>Весы. 19 июня. <U+0001F525>"","", засуньте свою доброту и искренность куда подальше, и относитесь к людям так, как они относятся к вам.<U+264F><U+FE0F>Скорпион. 19 июня. <U+0001F525>"",""ы ненавидят, когда обещают и не выполняют, когда сначала любят, а потом кидают, когда дают надежду, а сами убегают..<U+2650><U+FE0F>"","". 19 июня. <U+0001F525>Этот человечек, да, именно тот, о котором вы постоянно думаете.. Вот он вас очень...очень сильно любит...<U+2651><U+FE0F>Козерог. 19 июня. <U+0001F525>"",""и — скоро в Вашей жизни случится что-то очень важное.. То, о чем Вы мечтали не один год.. Это что-то кардинально изменит Вашу жизнь.. В лучшую сторону..<U+2652><U+FE0F>"","". 19 июня. <U+0001F525>У Водолеев есть человек, которого нет рядом, но он безумно дорог..И часть вашей души всегда будет только с ним.<U+2653><U+FE0F>Рыбы. 19 июня. <U+0001F525>"","" — все теперь будет для Вас легким, удачным и счастливым.. У Вас будет получаться практически всё, за чтобы Вы не взялись! Люди будут в щоке от Вашей везучести, а у некоторых Ваших завистников вообще челюсть отпадёт..@moygoroskop <U+262F><U+FE0F>"",""19 ИЮНЯ""";;;
"79,"". 20 июня. <U+0001F525>Овны — никогда не показывайте людям, как сильно они Вам нужны.. Ничего хорошего в ответ Вы не увидите..<U+2649><U+FE0F>"","". 20 июня. <U+0001F525>Тельцам много не надо, в данный момент они просто хотят теплого отношения к себе, любви и понимающего человека рядом..<U+264A><U+FE0F>Близнецы. 20 июня. <U+0001F525>"","", если все сложилось не так, как вы ожидали, не переживайте. Так нужно для Вашего будущего счастья.<U+264B><U+FE0F> Рак. 20 июня. <U+0001F525>3 качества за которые "","" иногда себя ненавидит: 1. Слишком добрый 2. Слишком привязывается к людям 3. Много прощает<U+264C><U+FE0F>"","". 20 июня. <U+0001F525>Прежде чем обижаться на Льва за то, что Он не пишет, не звонит, не поздравляет и не едет. ЗАДУМАЙТЕСЬ и ВСПОМНИТЕ, а когда вы сами в последний раз интересовались Львом?<U+264D><U+FE0F>"","". 20 июня. <U+0001F525>Девы не прощают подлость, Им не позволяет гордость! Они ценят ПРЕДАННОСТЬ И ВЕРНОСТЬ! Для Дев — это большая ценность!!!<U+264E><U+FE0F> "","". 20 июня. <U+0001F525>Любите Весов... Просто любите.. Они сейчас как никогда в этом нуждаются...<U+264F><U+FE0F>Скорпион. 20 июня. <U+0001F525>"",""ы многое могут простить, но.. ПРЕДАТЕЛЬСТВО НИКОГДА!!<U+2650><U+FE0F>"","". 20 июня. <U+0001F525>Вы себе даже не представляете, как же Стрельцы хотят на море!!! СИЛ УЖЕ НЕТУ ТЕРПЕТЬ!!!<U+2651><U+FE0F> Козерог. 20 июня. <U+0001F525>Воу воу воу, "",""и! Кто-то в Вас влюбился.. ПО-НАСТОЯЩЕМУ!!!<U+2652><U+FE0F>"","". 20 июня. <U+0001F525>Водолеи не любят ложь, Если лжец ты, Водолея не трожь! Водолеи любят искренних, простых, Обладателей СЕРДЕЦ ЗОЛОТЫХ!!!<U+2653><U+FE0F>"","". 20 июня. <U+0001F525>Рыбам не нужны слова любви.. Если хотите доказать Рыбам свою любовь — докажите её искренними поступками и верностью.. Слабо?@moygoroskop <U+262F><U+FE0F>"",""20 ИЮНЯ""";;;;
"80,"" сможет ощутить легкость, свободу, тягу к независимости. К этому Знаку Зодиака придет особое вдохновение и новые идеи. Творите!<U+2649><U+FE0F>"","". 21 июня. <U+0001F525>То, что вчера еще казалось абсолютно нереальным, сегодня может стать действительностью. Надо лишь приложить к этому минимальные усилия.<U+264A><U+FE0F>"","". 21 июня. <U+0001F525>Сегодня вами будут владеть смешанные чувства. Возможно, вам придется и плакать и смеяться одновременно. Запаситесь валерьянкой.<U+264B><U+FE0F>"","". 21 июня. <U+0001F525>Оглянитесь назад сегодня, это поможет вам прояснить взгляд в будущее. С этого дня хорошо начинать новые дела - они быстро и успешно придут к завершению.<U+264C><U+FE0F>"","". 21 июня.<U+0001F525>Насладитесь моментом и не думайте о будущем. Сегодня вы никак не можете на него повлиять, так что можете с полным правом на время отойти от дел.<U+264D><U+FE0F>"","". 21 июня. <U+0001F525>Из вас так и струится энергия. Постарайтесь найти ей достойное применение. Желательно использовать ее мощь для созидания, ибо в противном случае устранять последствия придется долго.<U+264E><U+FE0F>"","". 21 июня. <U+0001F525>Последнее время у вас появилась тенденция не замечать ничего, кроме волнующей вас проблемы. Все же постарайтесь вспомнить, что существует еще и окружающий мир, в котором все очень даже неплохо.<U+264F><U+FE0F>"","". 21 июня.<U+0001F525>Сегодня всякая мысль будет тонуть в море разгулявшихся эмоций. Вам пора отдохнуть.<U+2650><U+FE0F>"","". 21 июня.<U+0001F525>Сегодня вам в голову будут приходить самые странные идеи. Возможно, какую-то из них и стоит реализовать, что надолго обеспечит вам репутацию человека с легкой сумасшедшинкой, а значит - гениального.<U+2651><U+FE0F>"","". 21 июня.<U+0001F525>Если не можете позволить себе роскоши провести этот день в путешествии, постарайтесь хоть на пару часов сменить обстановку. Душа ваша нынче будет сгорать от жажды новых впечатлений.<U+2652><U+FE0F>"","". 21 июня.<U+0001F525>Окружающие сегодня будут настойчиво требовать вашего внимания. Будьте сознательны, помогите страждущим. И постарайтесь, чтобы они не заметили, насколько это вам не нравится.<U+2653><U+FE0F>"","". 21 июня.<U+0001F525>Откройте дверь для романтических настроений, и они не заставят себя долго ждать. Вы же уже соскучились по этим приятным ощущениям, правда?@moygoroskop <U+262F><U+FE0F>"",""21 ИЮНЯ""";;;;
"81,""<U+0001F525>Держите себя в руках и не позволяйте себе проявлять через чур много эмоций, это может привести к непредсказуемым последствиям.<U+2649><U+FE0F>"","". 22 июня.<U+0001F525>Постарайтесь не работать слишком много, иначе быстро растеряете вдохновение и вам все надоест.<U+264A><U+FE0F>"","". 22 июня.<U+0001F525>В вашей голове масса гениальных идей, которые рекомендуется начинать реализовывать. Это позволит вам стать более довольным жизнью и поднять самооценку.<U+264B><U+FE0F>"","". 22 июня.<U+0001F525>В вашей голове масса гениальных идей, которые рекомендуется начинать реализовывать. Это позволит вам стать более довольным жизнью и поднять самооценку.<U+264C><U+FE0F>"","". 22 июня.<U+0001F525>Ваши дела решаются практически сами собой. Вам остается только проконтролировать процесс, и на этом ваши обязанности на сегодня закончатся.<U+264D><U+FE0F>"","". 22 июня.<U+0001F525>Сегодня начинается благоприятный период для новых знакомств и завязывания любых отношений - и деловых, и любовных.<U+264E><U+FE0F>"","". 22 июня.<U+0001F525>Вам будет казаться, что вы прилагаете массу усилий, но все равно стоите на месте, а то и пятитесь назад. Этот период стоит просто переждать.<U+264F><U+FE0F> "","". 22 июня.<U+0001F525>Сегодня вашу душу должно согреть сознание собственной нужности и незаменимости. Что еще нужно для счастья?<U+2650><U+FE0F>"","". 22 июня.<U+0001F525>Сегодня есть большая вероятность встретить человека, который кардинально изменит вашу жизнь. Внимательно присматривайтесь к новым знакомым.<U+2651><U+FE0F>"","". 22 июня.<U+0001F525>Прислушивайтесь к интуиции, сегодня она будет подсказывать вам верные решения. Обязательно обратите внимание на свои сны - возможно, подсознание пытается послать вам важный сигнал.<U+2652><U+FE0F>"","". 22 июня.<U+0001F525>У вас накопилось достаточно сил и энергии, чтобы разрешить все накопившиеся дела, так что поскорее приступайте к делу.<U+2653><U+FE0F>"","". 22 июня.<U+0001F525>Удача сама идет к вам в руки, осталось только выбрать правильный момент, чтобы поймать ее. Проявите инициативу — дело от этого только выиграет@moygoroskop <U+262F><U+FE0F>"",""22 ИЮНЯ""";;;;
"82,"". 23 июня.<U+0001F525>Сегодня вы можете просчитаться с некоторыми суждениями. Чтобы этого не случилось, лучше несколько раз обдумывайте все запасные варианты. Берегите своих родных от решений, которые могут им очень навредить.<U+2649><U+FE0F>"","". 23 июня.<U+0001F525>Сегодня вы сможете добиться больших результатов, чем сами от себя ожидаете. Чтобы успех не прекратился, постарайтесь скрыть свои планы от окружающих. На постороннюю поддержку лучше не рассчитывайте, будет куда приятнее и правильнее взять свой трофей самому.<U+264A><U+FE0F>"","". 23 июня.<U+0001F525>Сегодня перед вами может предстать довольно сложная дилемма. Не бойтесь показаться неуверенными в себе, но если в чем-то сомневаетесь, то позвольте другим скоординировать вас.<U+264B><U+FE0F>"","". 23 июня.<U+0001F525>В этот день вы будете видеть позитив во всем и это правильно. Вам без труда будет удаваться вдохновлять других и самым оставаться на позитиве.<U+264C><U+FE0F>"","". 23 июня.<U+0001F525>Вам необходимо духовное развитие. Постарайтесь сегодня больше времени проводить наедине с собой. Научитесь видеть мир не черным или белым, а таким, какой он есть.<U+264D><U+FE0F>"","". 23 июня.<U+0001F525>Вам удастся избежать неприятностей и трудностей. Все будет прозрачно и предсказуемо. Вашего опыта хватит для разумного решения.<U+264E><U+FE0F>"","". 23 июня.<U+0001F525>Жизнь может заставить вас сменить привычный маршрут, но вы не растеряетесь. Не зацикливайтесь на том, что не получилось, лучше сосредоточьтесь на будущем.<U+264F><U+FE0F> "","". 23 июня.<U+0001F525>Сегодня вы забудете обо всех своих проблемах - вам предстоит занятие настолько интересное, что о них просто некогда будет вспоминать.<U+2650><U+FE0F>"","". 23 июня.<U+0001F525>Сегодня вам придется подойти со всей ответственностью к любому делу, даже самому незначительному. Только в этом случае наметится прогресс, которого вы давно жаждете.<U+2651><U+FE0F>"","". 23 июня.<U+0001F525>Нынче лучше не принимать важных решений, если существуют хоть какие-нибудь сомнения. Когда будете твердо уверены в себе, тогда и начинайте действовать.<U+2652><U+FE0F>"","". 23 июня.<U+0001F525>Сегодня вы будете просто блистать профессиональными навыками и недюжинными знаниями в той области, в которой вы работаете. Только не зазнавайтесь.<U+2653><U+FE0F>"","". 23 июня.<U+0001F525>Целый день вы будете чувствовать бодрость. Появится уникальная работоспособность, в результате которой, вы можете получить, небывалые успехи во всем.@moygoroskop <U+262F><U+FE0F>"",""23 ИЮНЯ""";;;;
