Овны	Тельцы	Близнецы	Рак	Лев	Девы	Весы	Скорпион	Стрелец	Козерог	Водолей	Рыбы	date
. 31 мая. ??Иногда, Овну для того, чтобы успокоиться, нужно разнести всё к чертям!??	. 31 мая. ??Тельцы — это будет неделя незабываемых приключений, ярких впечатлений, ошеломительного секса, вина и позитива! Будет офигительно круто!??Близнецы. 31 мая. ??	 — вся фигня позади. Теперь Вы будете наслаждаться длинной белой счастливой полосой... Полосой Вашей судьбы..?? Рак. 31 мая. ??	и — эта неделя будет легкой, приятной, позитивной и полной сюрпризов.. Вам безумно понравится!?? 	. 31 мая. ??Львы — эта неделя станет для Вас неделей больших жизненных побед, важных событий и принятия судьбоносных решений.?? 	. 31 мая. ??Девы — эта неделя будет станет для Вас неделей больших перемен.. Кардинальных, резких, ошеломительных.. ПЕРЕМЕН К ЛУЧШЕМУ!!!??Весы. 31 мая. ??	 — на этой неделе с Вами случиться столько всего хорошего, что Вы будете, мягко говоря, в шоке!!! Но, это будет одна из лучших недель в Вашей жизни!?? Скорпион. 31 мая. ??Люди, берегите нервы Скорпиона — серьезно. Когда Вы бережете нервы 	а — Вы бережете себя. Помните это.??Стрелец. 31 мая. ??Сколько можно повторять — 	 никогда и ни за кем бегать не собирается! Если Вы действительно нуждаетесь в Стрельце — ПОДОШЛИ и СКАЗАЛИ. Всё очень просто.??Козерог. 31 мая. ??Больше всего 	и ценят тех людей, которые умеют быть верными и надёжными. Людей, которые никогда не тараторят попусту, выполняют свои обещания, и, в которых можно быть точно уверенным, что Они никогда не предадут и всегда будут рядом. Да, таких мало, но.. Они есть.. Спасибо Им за это.?? 	. 31 мая. ??Водолеи - Вы встретите своего идеального человека.. Берегите его..??Рыбы.31 мая. ??	 — это будет неделя безумных приключений, ярких эмоций, бешеной страсти, необузданных порывов чувств и романтики.. Всё, как в кино.. Всё, как Вы заказывали..@moygoroskop ??	31.05.2020
. 1 июня. ??Овны — кто-то безумно скучает по Вам.. Но, ох уж это чертово расстояние...??	. 1 июня. ??У Тельца в жизни с сегодняшнего дня начинается длинная и затяжная белая полоса..??	. 1 июня. ??Близнеца бесит, когда теряются люди. А спустя месяцы они приползают и начинают нести какой-то бред о дружбе, о любви или о том, что скучали..?? Рак. 1 июня. ??Рак уже больше не верит словам. Ему их говорили слишком часто.. Настолько часто, что у 	а уже выработался иммунитет к балаболам..??	. 1 июня. ??Львам не нужен идеальный человек. Им нужен тот, с кем они смогут дурачиться, кто-то, кто будет к ним хорошо относиться и кому нравиться быть с ними больше, чем все остальное. И каждому из вас, я думаю, тоже нужен такой человек.??	. 1 июня. ??Девы — скоро в Вашей жизни появится человек, который поможет забыть Вам прошлое.. Да, что там прошлое — с ним рядом Вы забудете обо всем на свете и всецело отдадитесь любви и нежности!??Весы. 1 июня. ??Да, Весы с болью переживают, когда кто-то ни с того, ни с сего уходит из их жизни.. Но, 	 сильные.. Они сумеют найти замену всякому, кто их предал.. Но тех людей, кто остался — Они будут ценить, любить и беречь, как зеницу ока..??Скорпион. 1 июня. ??Завоевать 	а не так уж и сложно, достаточно просто всегда быть с Ним рядом, заставлять Его смеяться, любить Его, обожать, не оставлять в трудную минуту и никогда не оставлять..))??	. 1 июня. ??Стрельцы - Вы встретите своего идеального человека.. Берегите его..??Козерог. 1 июня. ??У Козерогов в жизни скоро все наладится, Их ждет вино, конфеты и массаж! И пусть весь мир к чертям собачьим катится! У 	ов будет все, блин, супер! Класс!))??	 .1 июня. ??Водолеи — кто-то очень-очень Вас ревнует.. Ревнует и медленно сходит с ума.. Но не говорит Вам об этом, потому что думает, что Вам на него абсолютно пофиг.. А ведь это не так..??Рыбы. 1 июня. ??	 — этот июнь подарит Вам красивые, нежные, крепкие и долгие-долгие отношения с человеком, который будет любить Вас больше жизни.@moygoroskop ??	01.06.2020
. 2 июня.??Овнам стоит серьезно отнестись к просьбе о помощи, которую он может сегодня услышать. Сегодня не стоит себя накручивать Овнам, все намного проще, чем, кажется.??	. 2 июня.??Любовь, отдых и развлечения ждут сегодня Тельцов. Больше проводите времени дома. Разделите свое хорошее настроение с близкими людьми.??	. 2 июня.??Звезды обещают Близнецам один из запоминающихся и ярких дней в этом месяце. Солнце будет светить в любви, работе и общественной жизни.??	. 2 июня.??Вы склонны считать неразрешимой проблему, которая таковой вовсе не является. Не стоит отравлять себе жизнь пустыми переживаниями, а то как бы судьба не подбросила вам реальный повод для расстройства.??	. 2 июня.??Этот день должен быть удачным. Он просто не может им не быть. Особенно хорошо у вас будут получаться те дела, которые вы отложили некоторое время назад. За сегодняшний день вы сможете подчистить почти все хвосты.??	. 2 июня.??Трудно, конечно оставаться оптимистом, стоя на распутье. Но судьба к вам не так уж неблагосклонна. Сегодня вам здорово помогут друзья.??	. 2 июня.??Не слишком заглядывайтесь на свое отражение сегодня, вы можете быть ослеплены собственным сиянием. Остается лишь посочувствовать окружающим вас людям. Но вы прекрасны!?? 	. 2 июня.??Соблюдайте осторожность и не торопите события: пусть идут своим чередом. Постарайтесь остаться сторонним наблюдателем и не особо вмешиваться в процесс.??	. 2 июня.??Сегодня ваш день в полном смысле этого слова. Однако, находясь на вершине успеха, не забудьте закрепить его и в дальнейшем действовать таким же образом.??	. 2 июня.??Близкие люди могут приставать к вам с советами – постарайтесь их выслушать. Есть высокие шансы, что вы услышите в их словах подсказку, в которой давно нуждались. ??	. 2 июня??Сегодня вам стоит разогнать грусть раз и навсегда. Распускать сопли - это гнилое дело. Стоять на месте - не ваш удел, по крайней мере сегодня.??	. 2 июня.??У вас есть прекрасная возможность провести день с толком. Хватит валяться на диване, будьте активнее. Встреча с друзьями и кучей позитива обеспечена.@moygoroskop ??	02.06.2020
. 3 июня.??От вас сегодня разве что искры лететь не будут, хотя и этого гарантировать нельзя. Вы будете привлекать всеобщее внимание, находиться в курсе всех дел. Если вы стремитесь к лидерству, то нынче легко его добьетесь. ??	. 3 июня.??То, что вы сегодня склонны считать проблемами, таковыми явно не являются. Это не более чем временные трудности, в преодолении которых и заключается радость жизни. Ибо что это за жизнь – без борьбы? ??	. 3 июня.??Сегодня вы будете желанным гостем, ибо никому не удастся так легко и изящно развлечь самое унылое общество как вам. Эх, повезло тем, у кого есть вы. ??	. 3 июня.??Сегодня вы будете желанным гостем, ибо никому не удастся так легко и изящно развлечь самое унылое общество как вам. Эх, повезло тем, у кого есть вы. ??	. 3 июня.??Сегодня вы будете желанным гостем, ибо никому не удастся так легко и изящно развлечь самое унылое общество как вам. Эх, повезло тем, у кого есть вы. ??Дева. 3 июня. ??	м следует лучше слушать свой внутренний голос. То, что вам первым придет в голову во время важного события в вашей жизни, и будет самым верным решением. ??	. 3 июня. ??Не пытайтесь всем угодить, ведь это просто невозможно. Даже если вы случайно кому-то не угодили, это не конец света. Но вы всегда должны иметь свое мнение и прежде всего стараться не изменять личным принципам. ?? 	. 3 июня.??Сегодня вам не стоит быть слишком резкими. Не все люди будут готовы забыть и простить. Так что спокойненько, вы же такие милахи. ??	. 3 июня.??Сегодня вам захочется уединения. Появится желание уйти прочь от шумной толпы и, наконец, разобраться со своими чувствами и мыслями. Так или иначе, ждите прозрений и озарений. ??	. 3 июня.??Всегда ли вы получаете столько же, сколько отдаете? Не слишком ли вы расточительны – в деньгах и чувствах? Воспользуйтесь этим днем, чтобы найти ответы на эти вопросы. ??	. 3 июня.??Вас ждет состояние материального и духовного удовлетворения. Сегодня вы будете радоваться тому, что имеете, вы будете уверены в завтрашнем дне и настроены оптимистично. ??	. 3 июня.??Сегодня вы – баловень судьбы, вам будет везти, куда бы вы ни шли и что бы ни делали, особенно во всем, связанном с богатством.@moygoroskop	03.06.2020
. 4 июня. ??Люди, будьте смелее - хватит любоваться Овнами в контакте, лучше пригласите их погулять..))??	. 4 июня. ??Тельцы - кто-то в Вас втюрился..)) И этот человек зависает на Вашей страничке в контакте чаще чем на своей..)) Но не лайкает.. подлец..??Близнецы. 4 июня. ??	 очень хотят найти человека, которому спокойно можно было бы довериться и подарить океан своей любви..??Рак. 4 июня. ??Скоро будет так - как Раки захотят, Ох*енно Раки будут зависать, Ждут 	ов обнимашки и уют, А все враги их слегонца соснут..??	". 4 июня. ??Львы - Вас ждет такая офигенная пикантность в отношениях, что ""50 оттенков серого"" тупо стоят в сторонке и нервно курят..??"	. 4 июня. ??Девы решили, пусть всё будет так, как есть. Они уже запарились пытаться всё изменить.??Весы. 4 июня. ??	 - не важно, с кем Вы проводите своё свободное время, важно о ком вы думаете, когда закрываете глаза..??Скорпион. 4 июня. ??	ы - хоть Вы вредины, но Вас любят.. Реально любят.. Вы заслужили..??	. 4 июня. ??Стрельцам хотелось бы настоящих крепких объятий, а не этих тупых и бессмысленных переписок в интернете..??Козерог. 4 июня. ??У Козерогов ангельское терпение.. Но это не значит, что надо его испытывать.. Нет ничего страшнее, чем 	 в гневе!??	. 4 июня. ??Водолеи - Ваше счастье находится у Вас под носом.. А Вы игнорите его. Не надо так!??	. 4 июня. ??Не делайте мозг Рыбам - или любите их, или идите на фиг..@moygoroskop ??	04.06.2020
 — это сильная личность, а не половинка. И отношения они строят с такими же сильными и яркими личностями, как и сами.??Телец. 5 июня. ??Телец офигенный друг. Никогда не предаст и всегда поддержит. Но если Вы этого не цените, то можете идти на фиг. 	 не пропадет.??Близнецы. 5 июня. ??	 офигенные педагоги! Они учат людей любить, радоваться жизни и шалить!)??Рак. 5 июня. ??	и — сегодня Вы почувствуете себя Алисой в стране чудес..)) В том смысле, что вокруг будет происходить какая-то хрень, а Вы ничего не будете понимать..))??Лев. 5 июня. ??Не бесите Львов! Если 	, что-то сказал — значит 100%, что так оно и будет! Львы всегда отвечают за свои слова!??	. 5 июня. ??Девы - не вздумайте впадать в депрессию! Осталось еще совсем чуть-чуть потерпеть и наконец-то случится то, чего вы так долго ждали!))??Весы. 5 июня. ??Весы ничего не хотят решать — 	 хотят шашлычки, винчик, гитарка, хорошие друзья рядом, песенки, а в воздухе, чтоб витал аромат любви..)))??Скорпион. 5 июня. ??	ы - чтобы Вы там себе не придумали, знайте.. Вы любимы.. По-настоящему любимы..?? 	. 5 июня. ??Стрельцы — Вы любимы.. Пипец, как любимы.. Это все, что Вам нужно знать.. Цените этого человека..??Козерог. 5 июня. ??	и - слушайте свое горячее сердце, оно уж точно плохого не посоветует. Постарайтесь не давить свои чувства и эмоции, покажите их людям, будьте настоящими. И кстати, кто-то в вас влюбился и следит за вашей страничкой в контакте.??Водолей. 5 июня. ??Любить Водолея нелегко — у Водолея тяжелый характер.. Но еще сложнее сделать так, чтобы 	 любил.. Вот это воистину сложно..??Рыбы. 5 июня. ??	 могут показаться слегка холодными на первый взгляд, но это не так.. Просто они не собираются дарить тепло своей души кому-попало.. Их доверие нужно завоевать..@moygoroskop ??	05.06.2020
. 6 июня. ??Овну не страшно быть одному — Овну страшно быть не с теми..??	. 6 июня. ??Тельцы — это будет не лето, а три месяца сплошных удовольствий! Их будет настолько много, что в конце лета Вы устанете от них и у Вас даже появится желание поработать.??Близнецы. 6 июня. ??Люди, запомните, 	 не любят ждать.. Поэтому лучше не испытывайте Их терпения..??Рак. 6 июня. ??	и — этим летом кто-то подарит Вам счастье.. Настоящее счастье..??	. 6 июня. ??Люди, запомните, Львы не любят ждать — поэтому лучше не испытывайте Их терпения..??	. 6 июня. ??Девы — этим летом Ваша жизнь кардинально изменится.. Вы станете по-настоящему СЧАСТЛИВЫ!!!??Весы. 6 июня. ??	 хотят от жизни совсем немного — просто, чтобы Их ценили и любили..?? Скорпион. 6 июня. ??	ы — это лето сожжет все Ваши хлопоты, невзгоды, беды и проблемы в пепел.. Это лето будет легким, солнечным, ласковым и щедрым на приятные ништячки по отношению к Вам..??	. 6 июня. ??Стрельцам очень хотелось бы уметь передавать через интернет объятия, выпивку, еду, хорошее настроение и трандюлей.. Трандюлей особенно..??Козерог. 6 июня. ??	и — это будет пипец, а не лето! Оно будет настолько шикарным, что без мата описать всю его шикарность просто невозможно!!!?? Водолей. 6 июня. ??Возможно характер у Водолея не мёд, возможно своей прямотой и искренностью Водолей доставляет некоторым людям неудобства, но.. 	 — это тот знак, который всегда будет рядом, даже в самую трудную минуту.. Даже, если от Вас отвернется весь мир.. ЦЕНИТЕ ВОДОЛЕЕВ!!!??Рыбы. 6 июня. ??	 — это лето будет настолько насыщенно приключениями, удовольствиями и приятными моментами, что промчится, словно один день.. Вы запомните Его на всю жизнь!@moygoroskop ??	06.06.2020
. 7 июня. ??Овнов уже всё достало — Овны хотят на море! СРОЧНО!??	. 7 июня. ??Тельцы - Ваше заветное желание исполнится на днях!!!?? Близнецы. 7 июня. ??	 — это самый искренний, прямой и открытый знак.. Иначе Они не могут и не умеют....??Рак. 7 июня. ??	и — Вас ждет внезапное путешествие!!!??	. 7 июня. ??Львы самые лучшие среди знаков, во всем! Секрет в том, что они общаются с теми, кто лучше. Если они будут бороться, то только с теми, кто сильнее. Они любят тех, кого нельзя. Львы лучшие, потому что они стремятся всегда быть только первыми!??	. 7 июня. ??Люди, если Вы влюбились в Дев, то, считайте, что вы круто влипли.. Ведь разлюбить Дев практически невозможно..?? 	. 7 июня. ??Весам ВСЁ ЛЕНЬ!!! Им срочно нужны рабы. МНОГО РАБОВ!!!??Скорпион. 7 июня. ??Звёзды приготовили для 	а отношения — красивые, долгие, счастливые..??	. 7 июня. ??Стрельцы, время вас сильно поменяло.??Козерог. 7 июня. ??	и не умеют чуть-чуть, понарошку, как-нибудь.. Они, если любят, то ПО-СЕРЬЕЗНОМУ, НАДОЛГО, ОТДАВАЯ СЕБЯ ДО ПОСЛЕДНЕЙ КАПЛИ..??	. 7 июня. ??Водолеи замечают абсолютно всё, каждое изменение. Они замечают, как кто-то начинает улыбаться им при встрече, замечают, как разговоры становятся длиннее. замечают, как чьи-то глаза становится холодными и неприветливыми при взгляде на них, хотя раньше они всегда их согревали. Они замечают, как кто-то наблюдает за ними, замечают, как то-то забывает их. Они замечают каждую маленькую деталь, они всё понимают. Они просто не подают виду..??	. 7 июня. ??Как бы больно вы Рыбам не сделали, знайте, что они всегда подадут вам руку помощи в трудный для вас момент, ведь они не вы...@moygoroskop ??	07.06.2020
??В этот день звезды на вашей стороне, поэтому сегодня можно легко заложить надежный фундамент будущих успехов и побед. ??	??Нынешний день будет благоприятен для разговоров по душам с близким человеком, и вы сможете обсудить с ним любую волнующую вас тему.??	??Фортуна обязательно улыбнется вам сегодня, поэтому можете без особой опаски идти на рискованные приключения, а также испытывать свою удачу.??	??Вы точно знаете, чего хотите, поэтому не допускайте сомнений в процессе принятия важного решения. Поступайте именно так, как вы задумали.??	??Слишком уж переменчивое у вас сегодня настроение. Что ж, с вами такое случается, только постарайтесь все-таки держать себя в руках и ни с кем не поругаться.??	??Что бы ни случилось сегодня, ничто не сможет омрачить радужности вашего настроения. Остается лишь надеяться, что на следующий день у вас не слишком будет болеть голова. ??	??Сегодня терпение будет не просто достоинством. Оно будет необходимо вам как воздух. Слишком уж много подводных камней будет ожидать вашу чересчур эмоциональную натуру.?? 	??Звезды рекомендуют заранее определиться со своими намерениями, чтобы неожиданный ветер перемен не застал вас врасплох.??	??Сегодняшний день необходимо провести так, чтобы не было мучительно больно за бесцельно потраченные часы. Оттянитесь как следует, тяжких последствий быть не должно.??	??Сегодня вас ждет победа. В последнее время вам пришлось немало потрудиться, и вот, наконец, вы получаете заслуженную награду, почет и уважение.??	??Сегодня вы можете почувствовать небывалый прилив сил, особенно душевных. Захочется проявлять чувства и дарить любовь. В общем, сегодня вы будете самым счастливым человеком.??	"??День будет очень насыщенным. Вам придется заниматься сразу несколькими делами, сидеть одновременно на двух стульях, ""жонглировать"" разными задачами. Но для вас это не проблема@moygoroskop ??"	08.06.2020
. ??Мир вокруг вас может преподнести сюрпризы. Будьте готовы к выгодному предложению и неожиданному разговору.??	??Дайте волю грезам. В этот день не во вред будет помечтать и понежится на уютном облачке своих фантазий.??	??Этот день - день интуиции. Расслабьтесь и позвольте событиям течь свободно. Будь что будет!??	??Есть шанс создать что-то необыкновенное. Будьте терпеливы, не давайте воли отрицательным эмоциям.??	??Все конфликты будут решаться легко и просто, а общения будет доставлять удовольствие. Воспользуйтесь этим уникальным шансом, чтобы оздоровить ваше жизненное пространство.??	??Сегодня вы можете начать свой собственный путь к цели. Он может оказаться не таким легким, как кажется на первый взгляд, но будьте уверены: вы преодолеете все препятствия и придете к своей мечте.??	??Сегодня вы осознаете, что в жизни можно радоваться даже совершенно простым вещам и будете счастливы, как ребенок. Прекрасный день!?? 	??Сегодня вы будете способны решить любую задачу. Кроме того, вы проявите не просто умение что-то делать, но будете делать всё с легкостью и артистизмом. Вы сами от себя будете в шоке.??	??День обещает быть чрезвычайно позитивным и ненапрягающим. Вы будете испытывать позитивные эмоции, и поводы для них действительно будут. Сегодня все проблемы будут решать сами собой.??	??Вы осознаете, что стали другим человеком, что последние события не прошли для вас даром, что они сделали вас сильнее и мудрее. Вы молодцы!??	??Постарайтесь быть максимально честными с собой, и при принятии судьбоносных решений смотреть на ситуацию еще и издалека. Это сегодня вам будет по плечу.??	??Никогда не следует пренебрегать хорошими советами. Впрочем, сегодня вы получите такой, которым не грех воспользоваться немедленно, он и правда будет хорош, а главное - к месту.@moygoroskop ??	09.06.2020
.  ??Когда Овнам было лет 10, Они думали, что в лет 20 Они уже будут деловыми и серьезными. АХАХАХАХАХАХАХА!!!? 	. ??Тельцы уже устали от работ, экзаменов и прочей чуши.. ТЕЛЬЦЫ ХОТЯТ В ОТПУСК!!!?	. ??Близнец обычно не имеет строгого плана действий. Он страшен своей импровизацией.?Рак. ??Увезите Рака на море, На Мальдивы, Канары, Сочи, Где любовь есть и нету горя, 	 НА МОРЕ ДО УЖАСА ХОЧЕТ!!!)))?	. ??3 самых главных проблемы Льва: 1. Быстро привязывается к людям 2. Слишком добрый 3. Быстро всё прощает?	". ??Девы — какая-бы фигня с Вами не случилась, не переставайте задавать себе вопрос: ""А будет ли это важно через год?""?Весы. ??"	 хотят моря, любви и тепла, Чтоб текила рекою текла, Наслаждаться жизнью, шалить, И ЛЮБИТЬ! И ЛЮБИТЬ! И ЛЮБИТЬ!!!? Скорпион. ??Говорят 	ы любят выносить людям мозг. Но, на самом деле очень трудно выносить мозг, учитывая, что многим людям его и не заносили.?	. ??Больше всего на свете Стрельцы боятся предательства..?Козерог. ??	и — уже совсем скоро Вас ждет какое-то внезапное путешествие. Возможно на море.?	. ??Водолеям уже всё надоело.. Водолеи хотят улететь в тёплые края.. Желательно с друзьями.. Желательно туда — где море, солнышко, мартини и румяные красивые романтичные закаты..?Рыбы. ??	 — наконец-то Вы встретите свое счастье.. Настоящее, тёплое, светлое, искреннее..? @moygoroskop	10.06.2020
 очень огорчен тем фактом, что любовь, верность, дружба и искренность в наше время - это только слова..??	.??Тельцы — удача Вас будет преследовать абсолютно во всем! Чтобы Вы не делали — она будет крепко держать Вас за руку и не отходить от Вас ни на шаг!)??Близнецы. ??	 плевать хотели на черные полосы жизни!) Он будет их белить!)??Рак. ??	и - скоро в Вашей жизни случится такое событие, которое Вы запомните на всю жизнь и еще долго потом будете благодарить Бога за это..??	.??У Льва нет правил, есть только настроение... Какое настроение, такие и правила...??	.??Девы хотели бы себе каменное сердце, чтобы не чувствовать ни боли, ни обид, ни разочарований..??	. ??Никогда, слышите, никогда не оставляйте Весов одних! Никогда и ни при каких обстоятельствах! Уведут.. Возьмут и уведут.. Вы даже глазом моргнуть не успеете..??Скорпион. ??Нет, Скорпион не ведется на глупый пафос, тупое шмотье, айфоны и прочую дребедень.. Для 	а главней всего, чтобы рядом был понимающий, близкий, любящий человек..??	. ??Стрельцы, откуда у Вас столько сил, чтобы улыбаться, когда отняли у вас часть души???Козерог. ??Козероги — Вы слишком хорошо относитесь к людям.. Вам нужно научится быть эгоистами! Да, для 	а это нелегко.. Но, нужно.. Иначе ох*евшие люди попросту начнут садится Вам на шею..??	.??Водолеи — Ваше счастье уже мчится к Вам на желтом Lamborghini с огромным букетом пионов.. Да-да, это не сон.. Скоро Вас жизнь начнет налаживаться..??	. ??Для того, чтобы потерять Рыб много не надо — равнодушия будет достаточно..@moygoroskop ??	12.06.2020
 хочет куда-нибудь в Сочи, Туда где дни длиннее, а ночи короче, Туда где взаимность и счастье, нет горя, Где волны.. Где чайки.. Где плещется море..?? 	. ??Чем больше Тельца ты вкусно кормишь, тем больше нравишься Ему.??Близнецы. ??	 — то, что в последние дни Вас так сильно волновало решится само по себе! ВСЁ БУДЕТ СУПЕР!??Рак.  ??3 главных качества 	а: 1. Надёжность 2. Верность слову 3. Душевный??	". ??Запомните, Львы — никто не бывает ""слишком занят"". Это просто вопрос приоритетов. Те, кому Вы действительно важны — всегда найдут для Вас время.??"	. ??Девы с успехом осуществят всё задуманное, порешают все проблемы, с успехом сдадут все экзамены — и всё у Них будет зашибись!!!??	. ??О, как Весам хотелось бы подарить некоторым людям мозги.. А некоторым даже по два комплекта..?? Скорпион.??Воу воу воу, 	ы — скоро в Вашу сторону подует денежный ветер!!!??	. ??Хотите сделать Стрельцам приятное — увезите Их на море.??Козерог. ??	и устали от всей этой фигни происходящей вокруг и хотят, чтобы кто-то увёз Их на море.. Желательно за спасибо..))??	.??Водолеи возложили очень большие надежды на этот июнь. И НЕ ЗРЯ!!! С сегодняшнего дня Ваши дела пойдут на поправку!!!))??Рыбы.??	 — готовьтесь ощутить на себе райские наслаждения! Их будет много! Это будет волшебно!!!@moygoroskop ??	13.06.2020
??Вы дадите старт новому большому делу или начнете очередной важный этап своей жизни. Ваше путешествие закончится успешно – вы достигнете своей цели.??	??Если в последнее время вы искали решение какой-то проблемы, будьте уверены: сегодня вы его найдете. Вас ждет прозрение – вы вдруг обнаружите, что ответ на волнующий вопрос лежал на поверхности.??	??Вас ждет весьма захватывающий вечер. Подготовьтесь к нему.??	??Прекрасный день! Звезды рекомендуют смело действовать, смело принимать решения и смело брать на себя ответственность.??	??Вы почувствуете прилив сил, вы будете уверены в себе и харизматичны, и всё у вас получится наилучшим образом. Вперед к покорению новых вершин!??	"??Звезды рекомендуют не бояться проявлять свои чувства, ""выпустить пар"" в какой-нибудь авантюре, но не строить планов на далекую перспективу. Этим вы займетесь позже.??"	??Сегодня вы можете дать старт новому делу. Вы поймете, что у вас есть желание, возможности для ее осуществления, а также вера в свои силы.?? 	??Сегодня действуйте решительно. У вас есть все возможности для того, чтобы свернуть горы – воспользуйтесь ими.??	??События этого дня помогут вам осознать, что ваше благополучие и ваш успех находятся в ваших руках. С одной стороны, вы - мастер своего дела, а с другой – готовы учиться чему-то новому.??Козерог??Ой, у 	ов день будет окрашен в невероятные позитивные тона! Спасибо тебе, невидимый художник!??	??Бывает, когда всё решается в последнюю минуту. Сегодня будет такая же ситуация. Решится всё в крайний момент, но самым офигенным для вас образом!??	??Рыбки, не надо считать все проблемы своими собственными, вы и так много взваливаете на свои и так замученные плечи. Лучше скушайте что-нибудь вкусное!@moygoroskop ??	14.06.2020
??Нынче вы будете преисполнены энтузиазма. Не давайте никому задушить в вас столь полезное качество, и вы будете способны многое сделать сегодня.??	??Не стоит недооценивать удачу, которая выпала на вашу долю. Во-первых, вы лишаете себя удовольствия, а во-вторых, удача ведь и обидеться может…??	??Не стоит сегодня тратить много сил на то, чтобы произвести впечатление на окружающих. Вы и так это сделаете, даже не особо этого добиваясь.??	??Позаботьтесь сегодня о своей внешности, а заодно и о здоровье. И отдохнете, и удовольствие получите, и похорошеете - разве плохо???	??Откройте двери и окна для новых возможностей, и они придут. Главное - вовремя двери и окна позакрывать, чтобы их посещение не оказалось транзитным??	??Сегодня вас ждет приятный день, полный хороших впечатлений и положительных эмоций, но не стоит терять своего мнения и поддаваться влиянию со стороны.??	??Хороший день для общения и встречи со старыми друзьями. Важные дела сегодня лучше завершить в первой половине дня, освободив время на вечерние посиделки в теплом кругу.?? 	??Звезды обещают вам настоящий подарок судьбы в виде реальной и необходимой помощи в осуществлении планов. Вы можете загореться новой идеей, захотите попробовать себя в чем-то новом, и именно в этот день подобные планы обречены на успех.??	??Не доверяйте мнению даже самых близких людей, полагайтесь на свою интуицию и собственный здравый смысл.??	??Сегодня вам может предстоять непростой разговор, конфликт, либо вам придется принимать неприятное, но необходимое решение. Все эти вещи априори не могут принести радость и удовлетворение, но они – необходимы.??	??Этот день может стать днем перемен – перемен к лучшему. Или известий о таких переменах.??	??День будет очень хорошим и приятным! Вы будете чувствовать себя уютно, где бы ни находились!@moygoroskop ??	15.06.2020
